이름,구위,구속,체력,멘탈,제구
강재민,50,62,10,100,100
고영표,41,38,89,100,100
고우석,96,98,11,100,100
고효준,61,68,19,100,100
곽빈,54,82,61,100,100
구승민,62,75,22,100,100
구창모,70,65,15,100,100
김강률,26,74,0,100,100
김광현,47,70,85,100,100
김기중,51,61,18,100,100
김기훈,60,69,3,100,100
김대우,38,33,23,100,100
김도규,51,61,2,100,100
김동주,46,68,31,100,100
김동혁,30,36,8,100,100
김명신,35,62,32,100,100
김민,44,75,2,100,100
김민우,63,55,15,100,100
김범수,52,83,22,100,100
김상수,40,65,16,100,100
김선기,31,73,10,100,100
김성진,56,73,13,100,100
김시훈,63,68,16,100,100
김영규,63,73,21,100,100
김영현,85,71,4,100,100
김원중,97,80,22,100,100
김유신,14,43,2,100,100
김윤식,33,58,29,100,100
김재웅,62,58,20,100,100
김재윤,44,68,23,100,100
김진성,66,66,26,100,100
김진욱,51,68,6,100,100
김태훈,36,70,22,100,100
나균안,54,65,62,100,100
남지민,23,75,7,100,100
노경은,55,75,34,100,100
류진욱,61,82,25,100,100
맥카티,49,75,62,100,100
맥키니,40,58,20,100,100
메디나,40,78,19,100,100
문동주,45,95,55,100,100
문성현,37,63,1,100,100
문승원,38,73,47,100,100
박명근,41,75,15,100,100
박상원,62,83,21,100,100
박세웅,53,76,77,100,100
박신지,50,67,0,100,100
박영현,60,75,29,100,100
박정수,82,56,6,100,100
박종훈,28,44,32,100,100
박준표,20,59,1,100,100
박치국,53,68,16,100,100
반즈,62,69,86,100,100
배제성,34,61,62,100,100
백승건,57,65,7,100,100
백승현,49,79,8,100,100
백정현,37,44,44,100,100
벤자민,56,71,80,100,100
뷰캐넌,42,79,97,100,100
브랜든,68,81,47,100,100
산체스,59,85,60,100,100
서진용,71,68,28,100,100
손동현,35,68,28,100,100
송명기,34,65,47,100,100
송영진,52,74,13,100,100
수아레즈,54,89,49,100,100
슐서,45,70,14,100,100
스트레일리,48,68,32,100,100
신민혁,34,60,58,100,100
신정락,60,48,2,100,100
심재민,39,55,13,100,100
안우진,88,100,74,100,100
알칸타라,48,92,100,100,100
앤더슨,56,80,32,100,100
양창섭,15,66,1,100,100
양현,0,20,19,100,100
양현종,48,63,87,100,100
엄상백,44,69,51,100,100
엘리아스,45,86,63,100,100
오승환,45,70,22,100,100
오원석,32,64,71,100,100
와이드너,46,74,53,100,100
요키시,46,63,23,100,100
우규민,35,48,10,100,100
원태인,36,71,74,100,100
윌커슨,65,71,32,100,100
유영찬,66,81,25,100,100
윤대경,34,56,13,100,100
윤영철,42,48,58,100,100
윤중현,16,56,1,100,100
이건욱,59,73,7,100,100
이로운,58,83,19,100,100
이명종,16,56,19,100,100
이병헌,78,72,1,100,100
이상동,67,70,8,100,100
이선우,30,41,7,100,100
이승현,57,65,20,100,100
이영하,44,83,8,100,100
이용준,40,69,25,100,100
이용찬,57,78,21,100,100
이우찬,69,68,7,100,100
이의리,73,76,63,100,100
이인복,12,58,4,100,100
이재익,27,63,9,100,100
이재학,43,58,25,100,100
이정용,22,68,36,100,100
이준영,58,60,4,100,100
이준호,21,64,3,100,100
이지강,33,67,25,100,100
이태양,38,56,44,100,100
이형범,20,66,1,100,100
임기영,52,47,34,100,100
임정호,60,53,14,100,100
임준섭,36,65,4,100,100
임찬규,42,61,71,100,100
임창민,49,62,12,100,100
장민재,58,43,26,100,100
장시환,53,76,5,100,100
장원준,38,46,9,100,100
장재영,55,86,27,100,100
장현식,64,79,15,100,100
전상현,60,65,19,100,100
정우람,29,36,8,100,100
정우영,33,86,15,100,100
정찬헌,19,38,28,100,100
정철원,47,81,28,100,100
정해영,44,67,14,100,100
조민석,66,69,3,100,100
조이현,17,52,5,100,100
주권,28,62,13,100,100
주현상,49,73,20,100,100
진승현,52,61,1,100,100
최동환,25,67,10,100,100
최민준,30,67,20,100,100
최성영,33,47,24,100,100
최승용,38,64,51,100,100
최원준,39,49,49,100,100
최원태,51,76,72,100,100
최이준,44,75,2,100,100
최준용,51,75,13,100,100
최지민,51,76,20,100,100
최채흥,14,48,22,100,100
켈리,43,77,91,100,100
쿠에바스,71,76,53,100,100
태너,41,56,23,100,100
파노니,40,63,34,100,100
페냐,68,76,91,100,100
페디,72,89,92,100,100
플럿코,48,70,58,100,100
하영민,75,83,16,100,100
하준영,68,66,14,100,100
한승주,44,68,26,100,100
한승혁,53,82,6,100,100
한현희,28,67,47,100,100
함덕주,74,57,17,100,100
홍건희,62,76,21,100,100
홍정우,41,58,6,100,100
황동재,50,58,3,100,100
황동하,37,62,3,100,100
후라도,50,77,94,100,100
